Month,underemployed,unemployed
January,"6589","3953"
February,"7850","4187"
March,"7335","3441"
April,"7453","4138"
May,"5492","3730"
June,"6409","3764"
July,"8692","3073"
August,"6482","3882"
September,"6183","4255"
October,"7044","3504"
November,"7617","3159"
December,"6811"," 3272 "
