,Month,January ,February,March,April,May,June,July,August,September,October,November,December
Employment Status,,,,,,,,,,,,,
,Underemployed,"6,589","7,850","7,335","7,453","5,492","6,409","8,692","6,482","6,183","7,044","7,617","6,811"
,Unemployed,"3,953","4,187","3,441","4,138","3,730","3,764","3,073","3,882","4,255","3,504","3,159"," 3,272 "
Sex,,,,,,,,,,,,,
,Male,61.3,57.0,55.3,57.6,59.5,52.1,56.2,58.5,56.1,58.8,58.5,56.3
,Female,38.7,43.0,44.7,42.4,40.5,47.9,43.8,41.5,43.9,41.2,41.5,43.7
